time,symbol,trade_price,trade_size,trade_side
2018-10-10T17:40:51.127238Z,ES,193900,1,B
2018-10-10T17:40:52.144670Z,ES,193925,1,A
2018-10-10T17:40:52.586863Z,ES,193950,6,A
2018-10-10T17:40:53.070400Z,VX,2500,1,B
2018-10-10T17:40:53.317677Z,VX,2505,1,A
2018-10-10T17:40:53.452908Z,ES,193950,18,B
2018-10-10T17:40:53.981180Z,VX,2505,4,A
2018-10-10T17:40:54.569605Z,ES,193950,16,A
2018-10-10T17:40:55.577514Z,ES,193950,8,A
2018-10-10T17:40:56.341387Z,ES,193975,11,A
2018-10-10T17:40:57.181759Z,ES,193975,7,A
2018-10-10T17:40:58.335980Z,ES,193950,1,B
2018-10-10T17:40:58.808363Z,ES,193950,18,B
2018-10-10T17:40:59.338228Z,ES,193950,6,B
2018-10-10T17:41:02.402446Z,VX,2505,1,A
2018-10-10T17:41:02.589313Z,ES,193975,35,A
2018-10-10T17:41:03.451900Z,ES,193975,195,A
2018-10-10T17:41:04.070961Z,ES,194000,1,A
2018-10-10T17:41:05.163436Z,ES,193975,1,B
2018-10-10T17:41:06.055053Z,ES,193975,32,A
2018-10-10T17:41:08.039041Z,ES,193975,2,A
2018-10-10T17:41:08.560827Z,ES,193950,1,B
2018-10-10T17:41:08.674563Z,ES,193950,47,B
2018-10-10T17:41:08.981129Z,ES,193975,1,A
2018-10-10T17:41:09.618540Z,ES,193975,12,A
2018-10-10T17:41:10.495698Z,ES,193975,2,A
2018-10-10T17:41:11.534672Z,ES,193975,12,B
2018-10-10T17:41:12.219907Z,VX,2505,40,A
2018-10-10T17:41:12.741311Z,ES,193975,1,B
2018-10-10T17:41:14.209902Z,ES,194000,1,A
2018-10-10T17:41:14.729058Z,ES,194000,2,A
2018-10-10T17:41:16.920119Z,ES,194025,1,A
2018-10-10T17:41:17.559987Z,ES,194025,9,A
2018-10-10T17:41:17.757385Z,ES,194025,7,A
2018-10-10T17:41:18.050868Z,ES,194050,4,A
2018-10-10T17:41:18.287009Z,ES,194025,1,A
2018-10-10T17:41:19.389451Z,ES,194025,2,A
2018-10-10T17:41:21.566514Z,VX,2505,1,A
2018-10-10T17:41:21.894078Z,ES,194025,19,A
2018-10-10T17:41:22.559525Z,ES,194050,2,A
2018-10-10T17:41:22.689012Z,ES,194075,87,A
2018-10-10T17:41:23.098289Z,VX,2500,5,A
2018-10-10T17:41:23.718308Z,ES,194075,19,A
2018-10-10T17:41:24.553359Z,ES,194075,8,A
2018-10-10T17:41:24.880706Z,ES,194050,21,B
2018-10-10T17:41:24.981275Z,ES,194025,5,B
2018-10-10T17:41:25.281029Z,ES,194050,1,A
2018-10-10T17:41:26.225342Z,VX,2500,1,B
2018-10-10T17:41:26.410033Z,ES,194050,66,A
2018-10-10T17:41:26.593796Z,VX,2505,1,A
2018-10-10T17:41:27.276314Z,ES,194050,6,B
2018-10-10T17:41:27.730191Z,ES,194075,101,A
2018-10-10T17:41:27.872443Z,ES,194050,23,B
2018-10-10T17:41:28.101197Z,VX,2500,2,A
2018-10-10T17:41:28.832076Z,ES,194050,3,B
2018-10-10T17:41:30.194032Z,ES,194075,1,A
2018-10-10T17:41:30.379236Z,ES,194075,50,A
2018-10-10T17:41:31.206254Z,ES,194100,60,A
2018-10-10T17:41:31.971394Z,ES,194075,9,B
2018-10-10T17:41:32.392188Z,ES,194100,1,A
2018-10-10T17:41:33.224208Z,ES,194100,17,A
2018-10-10T17:41:33.664690Z,ES,194100,7,A
2018-10-10T17:41:33.924407Z,ES,194075,13,B
2018-10-10T17:41:34.359065Z,ES,194075,3,B
2018-10-10T17:41:35.517064Z,ES,194075,5,B
2018-10-10T17:41:35.656860Z,VX,2500,1,A
2018-10-10T17:41:35.746062Z,ES,194100,4,A
2018-10-10T17:41:36.768908Z,ES,194100,2,A
2018-10-10T17:41:36.911525Z,ES,194075,2,B
2018-10-10T17:41:37.169564Z,ES,194075,70,B
2018-10-10T17:41:37.384910Z,ES,194100,1,A
2018-10-10T17:41:37.484630Z,ES,194075,35,B
2018-10-10T17:41:38.022397Z,ES,194075,145,A
2018-10-10T17:41:38.655806Z,ES,194050,5,B
2018-10-10T17:41:38.882126Z,ES,194025,31,B
2018-10-10T17:41:39.083811Z,ES,194050,2,A
2018-10-10T17:41:40.227530Z,ES,194050,3,A
2018-10-10T17:41:40.382885Z,VX,2500,14,A
2018-10-10T17:41:40.573841Z,ES,194050,2,A
2018-10-10T17:41:40.657186Z,ES,194050,15,A
2018-10-10T17:41:41.358505Z,VX,2505,1,A
2018-10-10T17:41:41.701519Z,ES,194050,1,A
2018-10-10T17:41:41.818991Z,VX,2500,4,B
2018-10-10T17:41:42.189707Z,ES,194000,36,B
2018-10-10T17:41:42.296427Z,ES,194025,3,A
2018-10-10T17:41:43.245158Z,ES,194025,7,A
